player_actual_points,visible_dealer_points,player_action,game_result,Unnamed: 0,Unnamed: 0.1,player_actual_points,visible_dealer_points,player_action,game_result
4,2,H,L,132,132,1,1,1,1
4,2,H,W,68,68,1,1,1,1
4,2,S,L,148,148,1,1,1,1
4,2,S,W,78,78,1,1,1,1
4,3,H,L,138,138,1,1,1,1
4,3,H,W,80,80,1,1,1,1
4,3,S,L,122,122,1,1,1,1
4,3,S,W,90,90,1,1,1,1
4,4,H,L,155,155,1,1,1,1
4,4,H,W,97,97,1,1,1,1
4,4,S,L,159,159,1,1,1,1
4,4,S,W,76,76,1,1,1,1
4,5,S,L,267,267,1,1,1,1
4,5,S,W,198,198,1,1,1,1
4,6,S,L,239,239,1,1,1,1
4,6,S,W,221,221,1,1,1,1
4,7,S,L,322,322,1,1,1,1
4,7,S,W,133,133,1,1,1,1
4,8,S,L,332,332,1,1,1,1
4,8,S,W,122,122,1,1,1,1
4,9,S,L,372,372,1,1,1,1
4,9,S,W,110,110,1,1,1,1
4,10,S,L,1474,1474,1,1,1,1
4,10,S,W,385,385,1,1,1,1
4,11,S,L,437,437,1,1,1,1
4,11,S,W,58,58,1,1,1,1
5,2,H,L,282,282,1,1,1,1
5,2,H,W,157,157,1,1,1,1
5,2,S,L,264,264,1,1,1,1
5,2,S,W,157,157,1,1,1,1
5,3,H,L,262,262,1,1,1,1
5,3,H,W,169,169,1,1,1,1
5,3,S,L,290,290,1,1,1,1
5,3,S,W,177,177,1,1,1,1
5,4,S,L,561,561,1,1,1,1
5,4,S,W,361,361,1,1,1,1
5,5,S,L,519,519,1,1,1,1
5,5,S,W,403,403,1,1,1,1
5,6,S,L,519,519,1,1,1,1
5,6,S,W,408,408,1,1,1,1
5,7,S,L,700,700,1,1,1,1
5,7,S,W,247,247,1,1,1,1
5,8,S,L,636,636,1,1,1,1
5,8,S,W,228,228,1,1,1,1
5,9,S,L,697,697,1,1,1,1
5,9,S,W,203,203,1,1,1,1
5,10,S,L,2849,2849,1,1,1,1
5,10,S,W,772,772,1,1,1,1
5,11,S,L,824,824,1,1,1,1
5,11,S,W,99,99,1,1,1,1
6,2,H,L,437,437,1,1,1,1
6,2,H,W,234,234,1,1,1,1
6,2,S,L,462,462,1,1,1,1
6,2,S,W,262,262,1,1,1,1
6,3,S,L,836,836,1,1,1,1
6,3,S,W,536,536,1,1,1,1
6,4,S,L,821,821,1,1,1,1
6,4,S,W,570,570,1,1,1,1
6,5,S,L,784,784,1,1,1,1
6,5,S,W,596,596,1,1,1,1
6,6,S,L,777,777,1,1,1,1
6,6,S,W,572,572,1,1,1,1
6,7,S,L,997,997,1,1,1,1
6,7,S,W,348,348,1,1,1,1
6,8,S,L,1007,1007,1,1,1,1
6,8,S,W,350,350,1,1,1,1
6,9,S,L,1043,1043,1,1,1,1
6,9,S,W,349,349,1,1,1,1
6,10,S,L,4308,4308,1,1,1,1
6,10,S,W,1179,1179,1,1,1,1
6,11,S,L,1193,1193,1,1,1,1
6,11,S,W,156,156,1,1,1,1
7,2,S,L,1281,1281,1,1,1,1
7,2,S,W,659,659,1,1,1,1
7,3,S,L,1225,1225,1,1,1,1
7,3,S,W,716,716,1,1,1,1
7,4,S,L,1146,1146,1,1,1,1
7,4,S,W,729,729,1,1,1,1
7,5,S,L,1112,1112,1,1,1,1
7,5,S,W,738,738,1,1,1,1
7,6,S,L,1097,1097,1,1,1,1
7,6,S,W,768,768,1,1,1,1
7,7,S,L,1381,1381,1,1,1,1
7,7,S,W,477,477,1,1,1,1
7,8,S,L,1374,1374,1,1,1,1
7,8,S,W,476,476,1,1,1,1
7,9,S,L,1399,1399,1,1,1,1
7,9,S,W,412,412,1,1,1,1
7,10,S,L,5795,5795,1,1,1,1
7,10,S,W,1577,1577,1,1,1,1
7,11,S,L,1652,1652,1,1,1,1
7,11,S,W,193,193,1,1,1,1
8,2,S,L,1452,1452,1,1,1,1
8,2,S,W,838,838,1,1,1,1
8,3,S,L,1520,1520,1,1,1,1
8,3,S,W,853,853,1,1,1,1
8,4,S,L,1423,1423,1,1,1,1
8,4,S,W,886,886,1,1,1,1
8,5,S,L,1357,1357,1,1,1,1
8,5,S,W,964,964,1,1,1,1
8,6,S,L,1338,1338,1,1,1,1
8,6,S,W,935,935,1,1,1,1
8,7,S,L,1685,1685,1,1,1,1
8,7,S,W,555,555,1,1,1,1
8,8,S,L,1698,1698,1,1,1,1
8,8,S,W,554,554,1,1,1,1
8,9,S,L,1791,1791,1,1,1,1
8,9,S,W,526,526,1,1,1,1
8,10,S,L,7045,7045,1,1,1,1
8,10,S,W,1869,1869,1,1,1,1
8,11,H,L,1785,1785,1,1,1,1
8,11,H,W,421,421,1,1,1,1
9,2,S,L,1802,1802,1,1,1,1
9,2,S,W,977,977,1,1,1,1
9,3,S,L,1716,1716,1,1,1,1
9,3,S,W,1058,1058,1,1,1,1
9,4,S,L,1662,1662,1,1,1,1
9,4,S,W,1146,1146,1,1,1,1
9,5,S,L,1650,1650,1,1,1,1
9,5,S,W,1135,1135,1,1,1,1
9,6,S,L,1545,1545,1,1,1,1
9,6,S,W,1128,1128,1,1,1,1
9,7,S,L,2073,2073,1,1,1,1
9,7,S,W,682,682,1,1,1,1
9,8,S,L,2012,2012,1,1,1,1
9,8,S,W,690,690,1,1,1,1
9,9,S,L,2149,2149,1,1,1,1
9,9,S,W,620,620,1,1,1,1
9,10,H,L,7412,7412,1,1,1,1
9,10,H,W,3525,3525,1,1,1,1
9,11,H,L,2054,2054,1,1,1,1
9,11,H,W,645,645,1,1,1,1
10,2,S,L,2069,2069,1,1,1,1
10,2,S,W,1148,1148,1,1,1,1
10,3,S,L,1981,1981,1,1,1,1
10,3,S,W,1183,1183,1,1,1,1
10,4,S,L,2017,2017,1,1,1,1
10,4,S,W,1308,1308,1,1,1,1
10,5,S,L,1836,1836,1,1,1,1
10,5,S,W,1288,1288,1,1,1,1
10,6,S,L,1861,1861,1,1,1,1
10,6,S,W,1344,1344,1,1,1,1
10,7,S,L,2374,2374,1,1,1,1
10,7,S,W,862,862,1,1,1,1
10,8,S,L,2387,2387,1,1,1,1
10,8,S,W,787,787,1,1,1,1
10,9,H,L,785,785,1,1,1,1
10,9,H,W,802,802,1,1,1,1
10,9,S,L,1209,1209,1,1,1,1
10,9,S,W,412,412,1,1,1,1
10,10,H,L,7582,7582,1,1,1,1
10,10,H,W,4993,4993,1,1,1,1
10,11,H,L,2309,2309,1,1,1,1
10,11,H,W,981,981,1,1,1,1
11,2,S,L,2401,2401,1,1,1,1
11,2,S,W,1265,1265,1,1,1,1
11,3,S,L,2240,2240,1,1,1,1
11,3,S,W,1375,1375,1,1,1,1
11,4,S,L,2205,2205,1,1,1,1
11,4,S,W,1362,1362,1,1,1,1
11,5,S,L,2171,2171,1,1,1,1
11,5,S,W,1508,1508,1,1,1,1
11,6,S,L,2136,2136,1,1,1,1
11,6,S,W,1585,1585,1,1,1,1
11,7,S,L,2674,2674,1,1,1,1
11,7,S,W,973,973,1,1,1,1
11,8,S,L,2876,2876,1,1,1,1
11,8,S,W,837,837,1,1,1,1
11,9,S,L,2795,2795,1,1,1,1
11,9,S,W,850,850,1,1,1,1
11,10,S,L,12174,12174,1,1,1,1
11,10,S,W,3226,3226,1,1,1,1
11,11,S,L,3604,3604,1,1,1,1
11,11,S,W,478,478,1,1,1,1
12,2,S,L,4543,4543,1,1,1,1
12,2,S,W,2447,2447,1,1,1,1
12,3,S,L,4303,4303,1,1,1,1
12,3,S,W,2532,2532,1,1,1,1
12,4,S,L,4274,4274,1,1,1,1
12,4,S,W,2749,2749,1,1,1,1
12,5,S,L,4153,4153,1,1,1,1
12,5,S,W,2794,2794,1,1,1,1
12,6,S,L,3946,3946,1,1,1,1
12,6,S,W,2936,2936,1,1,1,1
12,7,S,L,5038,5038,1,1,1,1
12,7,S,W,1812,1812,1,1,1,1
12,8,S,L,5231,5231,1,1,1,1
12,8,S,W,1727,1727,1,1,1,1
12,9,S,L,5386,5386,1,1,1,1
12,9,S,W,1633,1633,1,1,1,1
12,10,S,L,22936,22936,1,1,1,1
12,10,S,W,6267,6267,1,1,1,1
12,11,S,L,6462,6462,1,1,1,1
12,11,S,W,879,879,1,1,1,1
13,2,S,L,4767,4767,1,1,1,1
13,2,S,W,2595,2595,1,1,1,1
13,3,H,L,457,457,1,1,1,1
13,3,H,W,469,469,1,1,1,1
13,3,S,L,3920,3920,1,1,1,1
13,3,S,W,2384,2384,1,1,1,1
13,4,H,L,462,462,1,1,1,1
13,4,H,W,462,462,1,1,1,1
13,4,S,L,3852,3852,1,1,1,1
13,4,S,W,2601,2601,1,1,1,1
13,5,H,L,456,456,1,1,1,1
13,5,H,W,489,489,1,1,1,1
13,5,S,L,3671,3671,1,1,1,1
13,5,S,W,2578,2578,1,1,1,1
13,6,H,L,423,423,1,1,1,1
13,6,H,W,470,470,1,1,1,1
13,6,S,L,3643,3643,1,1,1,1
13,6,S,W,2771,2771,1,1,1,1
13,7,H,L,485,485,1,1,1,1
13,7,H,W,396,396,1,1,1,1
13,7,S,L,4655,4655,1,1,1,1
13,7,S,W,1630,1630,1,1,1,1
13,8,H,L,545,545,1,1,1,1
13,8,H,W,349,349,1,1,1,1
13,8,S,L,4765,4765,1,1,1,1
13,8,S,W,1579,1579,1,1,1,1
13,9,H,L,564,564,1,1,1,1
13,9,H,W,327,327,1,1,1,1
13,9,S,L,5135,5135,1,1,1,1
13,9,S,W,1517,1517,1,1,1,1
13,10,H,L,2486,2486,1,1,1,1
13,10,H,W,1206,1206,1,1,1,1
13,10,S,L,21533,21533,1,1,1,1
13,10,S,W,5752,5752,1,1,1,1
13,11,H,L,669,669,1,1,1,1
13,11,H,W,196,196,1,1,1,1
13,11,S,L,6198,6198,1,1,1,1
13,11,S,W,846,846,1,1,1,1
14,2,S,L,4494,4494,1,1,1,1
14,2,S,W,2423,2423,1,1,1,1
14,3,H,L,459,459,1,1,1,1
14,3,H,W,492,492,1,1,1,1
14,3,S,L,3786,3786,1,1,1,1
14,3,S,W,2282,2282,1,1,1,1
14,4,H,L,458,458,1,1,1,1
14,4,H,W,454,454,1,1,1,1
14,4,S,L,3688,3688,1,1,1,1
14,4,S,W,2335,2335,1,1,1,1
14,5,H,L,462,462,1,1,1,1
14,5,H,W,469,469,1,1,1,1
14,5,S,L,3512,3512,1,1,1,1
14,5,S,W,2561,2561,1,1,1,1
14,6,H,L,448,448,1,1,1,1
14,6,H,W,500,500,1,1,1,1
14,6,S,L,3310,3310,1,1,1,1
14,6,S,W,2591,2591,1,1,1,1
14,7,H,L,494,494,1,1,1,1
14,7,H,W,409,409,1,1,1,1
14,7,S,L,4539,4539,1,1,1,1
14,7,S,W,1538,1538,1,1,1,1
14,8,H,L,515,515,1,1,1,1
14,8,H,W,353,353,1,1,1,1
14,8,S,L,4505,4505,1,1,1,1
14,8,S,W,1416,1416,1,1,1,1
14,9,H,L,569,569,1,1,1,1
14,9,H,W,317,317,1,1,1,1
14,9,S,L,4601,4601,1,1,1,1
14,9,S,W,1420,1420,1,1,1,1
14,10,H,L,2478,2478,1,1,1,1
14,10,H,W,1170,1170,1,1,1,1
14,10,S,L,20126,20126,1,1,1,1
14,10,S,W,5403,5403,1,1,1,1
14,11,H,L,698,698,1,1,1,1
14,11,H,W,213,213,1,1,1,1
14,11,S,L,5811,5811,1,1,1,1
14,11,S,W,782,782,1,1,1,1
15,2,S,L,4259,4259,1,1,1,1
15,2,S,W,2334,2334,1,1,1,1
15,3,S,L,4109,4109,1,1,1,1
15,3,S,W,2499,2499,1,1,1,1
15,4,S,L,3930,3930,1,1,1,1
15,4,S,W,2564,2564,1,1,1,1
15,5,S,L,3625,3625,1,1,1,1
15,5,S,W,2676,2676,1,1,1,1
15,6,H,L,509,509,1,1,1,1
15,6,H,W,464,464,1,1,1,1
15,6,S,L,3186,3186,1,1,1,1
15,6,S,W,2274,2274,1,1,1,1
15,7,H,L,526,526,1,1,1,1
15,7,H,W,420,420,1,1,1,1
15,7,S,L,4090,4090,1,1,1,1
15,7,S,W,1395,1395,1,1,1,1
15,8,H,L,625,625,1,1,1,1
15,8,H,W,363,363,1,1,1,1
15,8,S,L,4135,4135,1,1,1,1
15,8,S,W,1322,1322,1,1,1,1
15,9,H,L,618,618,1,1,1,1
15,9,H,W,336,336,1,1,1,1
15,9,S,L,4354,4354,1,1,1,1
15,9,S,W,1257,1257,1,1,1,1
15,10,H,L,2751,2751,1,1,1,1
15,10,H,W,1223,1223,1,1,1,1
15,10,S,L,18403,18403,1,1,1,1
15,10,S,W,4969,4969,1,1,1,1
15,11,H,L,736,736,1,1,1,1
15,11,H,W,227,227,1,1,1,1
15,11,S,L,5293,5293,1,1,1,1
15,11,S,W,727,727,1,1,1,1
16,2,S,L,4054,4054,1,1,1,1
16,2,S,W,2208,2208,1,1,1,1
16,3,S,L,3844,3844,1,1,1,1
16,3,S,W,2350,2350,1,1,1,1
16,4,S,L,3675,3675,1,1,1,1
16,4,S,W,2354,2354,1,1,1,1
16,5,S,L,3514,3514,1,1,1,1
16,5,S,W,2510,2510,1,1,1,1
16,6,S,L,3480,3480,1,1,1,1
16,6,S,W,2561,2561,1,1,1,1
16,7,S,L,4382,4382,1,1,1,1
16,7,S,W,1579,1579,1,1,1,1
16,8,S,L,4512,4512,1,1,1,1
16,8,S,W,1488,1488,1,1,1,1
16,9,S,L,4689,4689,1,1,1,1
16,9,S,W,1387,1387,1,1,1,1
16,10,S,L,20600,20600,1,1,1,1
16,10,S,W,5652,5652,1,1,1,1
16,11,S,L,5961,5961,1,1,1,1
16,11,S,W,774,774,1,1,1,1
17,2,S,L,3515,3515,1,1,1,1
17,2,S,W,1972,1972,1,1,1,1
17,3,S,L,3511,3511,1,1,1,1
17,3,S,W,2110,2110,1,1,1,1
17,4,S,L,3312,3312,1,1,1,1
17,4,S,W,2278,2278,1,1,1,1
17,5,S,L,3166,3166,1,1,1,1
17,5,S,W,2367,2367,1,1,1,1
17,6,S,L,3213,3213,1,1,1,1
17,6,S,W,2386,2386,1,1,1,1
17,7,S,L,4299,4299,1,1,1,1
17,7,S,W,1535,1535,1,1,1,1
17,8,S,L,4213,4213,1,1,1,1
17,8,S,W,1373,1373,1,1,1,1
17,9,S,L,4326,4326,1,1,1,1
17,9,S,W,1241,1241,1,1,1,1
17,10,S,L,19520,19520,1,1,1,1
17,10,S,W,5200,5200,1,1,1,1
17,11,S,L,5502,5502,1,1,1,1
17,11,S,W,714,714,1,1,1,1
18,2,S,L,2496,2496,1,1,1,1
18,2,S,W,2483,2483,1,1,1,1
18,3,S,L,2633,2633,1,1,1,1
18,3,S,W,2699,2699,1,1,1,1
18,4,S,L,2488,2488,1,1,1,1
18,4,S,W,2735,2735,1,1,1,1
18,5,S,L,2349,2349,1,1,1,1
18,5,S,W,2847,2847,1,1,1,1
18,6,S,L,2088,2088,1,1,1,1
18,6,S,W,3091,3091,1,1,1,1
18,7,S,L,1874,1874,1,1,1,1
18,7,S,W,3276,3276,1,1,1,1
18,8,S,L,3209,3209,1,1,1,1
18,8,S,W,1929,1929,1,1,1,1
18,9,S,L,3543,3543,1,1,1,1
18,9,S,W,1856,1856,1,1,1,1
18,10,S,L,15450,15450,1,1,1,1
18,10,S,W,7406,7406,1,1,1,1
18,11,S,L,4738,4738,1,1,1,1
18,11,S,W,1569,1569,1,1,1,1
19,2,S,L,1615,1615,1,1,1,1
19,2,S,W,2874,2874,1,1,1,1
19,3,S,L,1660,1660,1,1,1,1
19,3,S,W,2951,2951,1,1,1,1
19,4,S,L,1665,1665,1,1,1,1
19,4,S,W,2998,2998,1,1,1,1
19,5,S,L,1598,1598,1,1,1,1
19,5,S,W,3132,3132,1,1,1,1
19,6,S,L,1462,1462,1,1,1,1
19,6,S,W,3408,3408,1,1,1,1
19,7,S,L,1054,1054,1,1,1,1
19,7,S,W,3542,3542,1,1,1,1
19,8,S,L,1276,1276,1,1,1,1
19,8,S,W,3412,3412,1,1,1,1
19,9,S,L,2627,2627,1,1,1,1
19,9,S,W,2280,2280,1,1,1,1
19,10,S,L,13175,13175,1,1,1,1
19,10,S,W,10193,10193,1,1,1,1
19,11,S,L,3687,3687,1,1,1,1
19,11,S,W,2266,2266,1,1,1,1
20,2,S,L,2036,2036,1,1,1,1
20,2,S,W,6080,6080,1,1,1,1
20,3,S,L,1930,1930,1,1,1,1
20,3,S,W,6400,6400,1,1,1,1
20,4,S,L,1938,1938,1,1,1,1
20,4,S,W,6588,6588,1,1,1,1
20,5,S,L,1887,1887,1,1,1,1
20,5,S,W,6540,6540,1,1,1,1
20,6,S,L,1671,1671,1,1,1,1
20,6,S,W,6746,6746,1,1,1,1
20,7,S,L,1222,1222,1,1,1,1
20,7,S,W,7085,7085,1,1,1,1
20,8,S,L,1103,1103,1,1,1,1
20,8,S,W,7280,7280,1,1,1,1
20,9,S,L,1643,1643,1,1,1,1
20,9,S,W,7237,7237,1,1,1,1
20,10,S,L,17338,17338,1,1,1,1
20,10,S,W,20700,20700,1,1,1,1
20,11,S,L,4722,4722,1,1,1,1
20,11,S,W,4770,4770,1,1,1,1
21,2,S,L,448,448,1,1,1,1
21,2,S,W,3184,3184,1,1,1,1
21,3,S,L,445,445,1,1,1,1
21,3,S,W,3324,3324,1,1,1,1
21,4,S,L,398,398,1,1,1,1
21,4,S,W,3307,3307,1,1,1,1
21,5,S,L,425,425,1,1,1,1
21,5,S,W,3283,3283,1,1,1,1
21,6,S,L,384,384,1,1,1,1
21,6,S,W,3529,3529,1,1,1,1
